,age,duree_paiement,taux,duree_rente,type_prime,produit
289,22,12,0.021607292921521602,3,MENSUEL,NSIA-ETUDES
290,23,12,0.021641050955145427,3,MENSUEL,NSIA-ETUDES
291,24,12,0.02167954473714347,3,MENSUEL,NSIA-ETUDES
292,25,12,0.021723195208363955,3,MENSUEL,NSIA-ETUDES
293,26,12,0.02177335873063975,3,MENSUEL,NSIA-ETUDES
294,27,12,0.021829665249500363,3,MENSUEL,NSIA-ETUDES
295,28,12,0.021893634391313983,3,MENSUEL,NSIA-ETUDES
296,29,12,0.021967804749057393,3,MENSUEL,NSIA-ETUDES
297,30,12,0.02205413950209018,3,MENSUEL,NSIA-ETUDES
298,31,12,0.022156595983949926,3,MENSUEL,NSIA-ETUDES
299,32,12,0.022279520643331583,3,MENSUEL,NSIA-ETUDES
300,33,12,0.022422539800769414,3,MENSUEL,NSIA-ETUDES
301,34,12,0.022585296317854664,3,MENSUEL,NSIA-ETUDES
302,35,12,0.022765572018859814,3,MENSUEL,NSIA-ETUDES
303,36,12,0.0229667728520728,3,MENSUEL,NSIA-ETUDES
304,37,12,0.023188049253318615,3,MENSUEL,NSIA-ETUDES
305,38,12,0.023430960436197343,3,MENSUEL,NSIA-ETUDES
306,39,12,0.02369436679272145,3,MENSUEL,NSIA-ETUDES
307,40,12,0.023975730313984478,3,MENSUEL,NSIA-ETUDES
308,41,12,0.024272103170324792,3,MENSUEL,NSIA-ETUDES
309,42,12,0.024577128313142203,3,MENSUEL,NSIA-ETUDES
310,43,12,0.024891162441152734,3,MENSUEL,NSIA-ETUDES
311,44,12,0.025211430355457955,3,MENSUEL,NSIA-ETUDES
312,45,12,0.025536814326589177,3,MENSUEL,NSIA-ETUDES
313,46,12,0.025866408764974567,3,MENSUEL,NSIA-ETUDES
314,47,12,0.026204582207897523,3,MENSUEL,NSIA-ETUDES
315,48,12,0.02655920274400164,3,MENSUEL,NSIA-ETUDES
316,49,12,0.026939392820838487,3,MENSUEL,NSIA-ETUDES
317,50,12,0.02735440760839972,3,MENSUEL,NSIA-ETUDES
318,51,12,0.02781523720807947,3,MENSUEL,NSIA-ETUDES
319,52,12,0.028328673391434883,3,MENSUEL,NSIA-ETUDES
320,53,12,0.028903998817911218,3,MENSUEL,NSIA-ETUDES
